Week Ending,Provider State,Residents Weekly Confirmed COVID-19,Residents Weekly All Deaths,Residents Weekly COVID-19 Deaths,Total Number of Occupied Beds
2020-07-19,UT,55.0,35.0,18.0,4999.0
2020-07-19,VA,135.0,131.0,32.0,24662.0
2020-07-19,VT,0.0,13.0,0.0,2200.0
2020-07-19,WA,98.0,81.0,5.0,13348.0
2020-07-19,WI,30.0,140.0,9.0,19876.0
2020-07-19,WV,7.0,51.0,0.0,8616.0
2020-07-19,WY,0.0,6.0,0.0,2201.0
2020-07-26,AK,0.0,1.0,0.0,668.0
2020-07-26,AL,540.0,175.0,67.0,19949.0
2020-07-26,AR,172.0,101.0,27.0,16020.0
2020-07-26,AZ,244.0,138.0,57.0,10034.0
2020-07-26,CA,1588.0,540.0,197.0,86919.0
2020-07-26,CO,38.0,76.0,9.0,14589.0
2020-07-26,CT,14.0,99.0,4.0,17908.0
2020-07-26,DC,2.0,5.0,0.0,1972.0
2020-07-26,DE,14.0,19.0,2.0,3442.0
2020-07-26,FL,1929.0,644.0,293.0,63445.0
2020-07-26,GA,580.0,203.0,83.0,28985.0
2020-07-26,GU,0.0,0.0,0.0,10.0
2020-07-26,HI,2.0,16.0,0.0,3383.0
2020-07-26,IA,117.0,154.0,32.0,21348.0
2020-07-26,ID,92.0,25.0,10.0,3828.0
2020-07-26,IL,135.0,291.0,35.0,58542.0
2020-07-26,IN,122.0,218.0,74.0,35441.0
2020-07-26,KS,68.0,103.0,10.0,15940.0
2020-07-26,KY,104.0,99.0,21.0,21159.0
2020-07-26,LA,548.0,203.0,86.0,22687.0
